rxn,model,e_r_uks_ha,e_ts_uks_ha,e_p_uks_ha,e_ts_rks_ha,s2_r,s2_ts,s2_p,unstable_ts,depth_ts_mev,depth_src,f_model_max,f_model_norm_max,f_dft_max,f_err_max,f_err_mae,barr_model,barr_dft,barr_rks,err_barr,rxne_model,rxne_dft,err_rxne,scf_cyc_ts_uks,scf_cyc_ts_rks
rxn7945,uma-s,-323.471272225,-323.328167878,-323.367256682,,0.000000,-0.000000,1.029843,0,0.0,stabperform_stable,0.014622,0.017462,0.056589,0.057910,0.019506,3.868715,3.894068,,-0.025353,2.821788,2.830407,-0.008619,18,
rxn7949,esen,-323.471272361,-323.369949933,-323.476129959,-323.320996751,0.000000,1.001232,-0.000000,1,1332.1,rks_sp,0.010209,0.013483,0.048078,0.048566,0.013371,2.752031,2.757124,4.089208,-0.005093,-0.131954,-0.132182,0.000228,22,22
rxn7949,uma-m,-323.471272442,-323.369963607,-323.476128674,-323.321742451,-0.000000,1.000002,0.000000,1,1312.2,rks_sp,0.003623,0.005422,0.053329,0.052601,0.009102,2.766913,2.756754,4.068918,0.010159,-0.131964,-0.132145,0.000181,22,22
rxn7949,uma-s,-323.471272224,-323.369408651,-323.476128372,-323.322750435,0.000000,0.997225,0.000000,1,1269.6,rks_sp,0.004342,0.005132,0.248911,0.248859,0.054121,2.797076,2.771849,4.041484,0.025227,-0.132649,-0.132143,-0.000507,23,22
rxn7955,esen,-323.471272361,-323.360352177,-323.363228586,,-0.000000,-0.000000,-0.000000,0,0.0,stabperform_stable,0.049481,0.057339,0.048293,0.048569,0.013785,3.021796,3.018292,,0.003504,2.936544,2.940021,-0.003477,15,
rxn7955,uma-m,-323.471272442,-323.360361574,-323.363213961,,0.000000,-0.000000,-0.000000,0,0.0,stabperform_stable,0.050726,0.056490,0.033683,0.022692,0.005730,3.012260,3.018038,,-0.005779,2.937815,2.940421,-0.002606,15,
rxn7955,uma-s,-323.471272225,-323.360355166,-323.363238118,,0.000000,-0.000000,-0.000000,0,0.0,stabperform_stable,0.046752,0.049125,0.045801,0.040727,0.010936,3.013663,3.018207,,-0.004543,2.942209,2.939758,0.002451,15,
rxn7957,esen,-323.471272361,-323.364194138,-323.412465767,-323.349181405,-0.000000,0.733821,0.000000,1,408.5,rks_sp,0.020013,0.030935,0.114300,0.108108,0.030627,2.946548,2.913747,3.322264,0.032801,1.598018,1.600209,-0.002191,19,16
rxn7957,uma-m,-323.471272442,-323.364190791,-323.412468660,-323.352032296,-0.000000,0.687857,-0.000000,1,330.8,rks_sp,0.009160,0.013143,0.114315,0.105830,0.025381,2.916912,2.913840,3.244690,0.003072,1.598350,1.600132,-0.001783,19,16
rxn7957,uma-s,-323.471272225,-323.364201298,-323.412467552,-323.348952325,0.000000,0.737133,-0.000000,1,414.9,rks_sp,0.028685,0.047372,0.125138,0.117209,0.030566,2.915427,2.913548,3.328494,0.001879,1.600066,1.600157,-0.000090,19,16
rxn8827,esen,-323.425093639,-323.298947207,-323.325414728,-323.259571678,-0.000000,1.009114,1.006407,1,1071.5,rks_sp,0.038048,0.044929,0.222072,0.220751,0.054289,3.486552,3.432619,4.504082,0.053933,2.700185,2.712401,-0.012216,23,22
rxn8827,uma-m,-323.425093388,-323.298927467,-323.325525266,-323.260778554,-0.000000,1.006780,1.007310,1,1038.1,rks_sp,0.032523,0.035249,0.137258,0.140227,0.032742,3.455532,3.433150,4.471234,0.022382,2.709883,2.709387,0.000496,24,22
rxn8827,uma-s,-323.425092908,-323.298471679,-323.325522512,-323.261213589,0.000000,1.000839,1.007358,1,1013.8,rks_sp,0.028811,0.034402,0.180100,0.175093,0.051975,3.455995,3.445539,4.459383,0.010456,2.696305,2.709449,-0.013144,21,22
rxn8829,esen,-323.425093639,-323.318698210,-323.474494771,,-0.000000,0.000000,0.000000,0,0.0,stabperform_stable,0.051553,0.065022,0.069035,0.070429,0.016269,2.901664,2.895167,,0.006497,-1.345243,-1.344273,-0.000970,13,
rxn8829,uma-m,-323.425093389,-323.318710291,-323.474493851,,0.000000,-0.000000,-0.000000,0,0.0,stabperform_stable,0.037635,0.054798,0.044762,0.012510,0.005162,2.888524,2.894832,,-0.006307,-1.343449,-1.344255,0.000806,13,
rxn8829,uma-s,-323.425092909,-323.318703047,-323.474493772,,0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.039408,0.058442,0.038437,0.029135,0.010368,2.896744,2.895016,,0.001729,-1.343500,-1.344266,0.000766,13,
rxn8832,esen,-323.425093639,-323.333687232,-323.393414553,-323.295930294,-0.000000,0.988726,0.561354,1,1027.4,rks_sp,0.037995,0.048715,0.221868,0.226540,0.047471,2.527008,2.487295,3.514714,0.039713,0.860081,0.862032,-0.001951,19,18
rxn8832,uma-m,-323.425093389,-323.333901827,-323.393427684,-323.296095040,0.000000,0.990454,0.562680,1,1028.8,rks_sp,0.034381,0.045720,0.077833,0.076685,0.014334,2.474678,2.481449,3.510224,-0.006771,0.860954,0.861668,-0.000714,23,18
rxn8832,uma-s,-323.425092908,-323.333315266,-323.393408619,-323.296742145,-0.000000,0.982489,0.561089,1,995.2,rks_sp,0.028433,0.037675,0.108078,0.103358,0.030037,2.492881,2.497397,3.492602,-0.004516,0.862580,0.862173,0.000407,22,19
rxn8837,esen,-323.425093638,-323.256620519,-323.325977312,,-0.000000,-0.000000,0.959480,0,0.0,stabperform_stable,0.091515,0.117051,0.099285,0.086637,0.013010,4.592285,4.584387,,0.007898,2.677280,2.697093,-0.019813,18,
rxn8837,uma-m,-323.425093389,-323.171197303,-323.326146845,-323.053148696,0.000000,1.007022,0.958298,1,3212.3,rks_sp,0.752253,0.799304,0.763636,0.439443,0.113389,6.945076,6.908864,10.121131,0.036211,2.680474,2.692473,-0.011998,20,32
rxn8837,uma-s,-323.425092908,-323.093660104,-323.326181578,-322.966513951,0.000000,1.009994,0.964378,1,3459.8,rks_sp,0.045953,0.056592,0.735029,0.731320,0.165037,9.638160,9.018746,12.478569,0.619414,2.651271,2.691514,-0.040244,95,95
rxn8885,esen,-323.430275085,-323.310442621,-323.390178910,-323.201909801,-0.000000,1.028231,0.000000,1,2953.3,rks_sp,0.399534,0.402862,0.380064,0.097695,0.017598,3.262913,3.260807,6.214136,0.002105,1.089160,1.091073,-0.001913,39,29
rxn8885,uma-m,-323.430275318,-323.299124451,-323.390179545,-323.299044460,-0.000000,0.113573,0.000000,1,2.2,rks_sp,0.021909,0.023703,0.116247,0.127377,0.024980,3.572330,3.568797,3.570974,0.003534,1.091407,1.091062,0.000345,65,16
rxn8885,uma-s,-323.430275066,-323.311526854,-323.390177899,-323.239101840,-0.000000,1.024371,0.000000,1,1970.8,rks_sp,0.467814,0.497292,0.481744,0.101477,0.020550,3.242869,3.231303,5.202089,0.011565,1.089493,1.091099,-0.001606,184,24
rxn9246,esen,-322.574487170,-322.509145661,-322.543020548,,0.000000,0.000000,-0.000000,0,0.0,stabperform_stable,0.073628,0.075693,0.071084,0.041238,0.007896,1.777411,1.778033,,-0.000622,0.856598,0.856250,0.000348,15,
rxn9246,uma-m,-322.574487191,-322.509147618,-322.543020469,,-0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.069841,0.072186,0.068939,0.007764,0.001861,1.775580,1.777980,,-0.002401,0.857244,0.856253,0.000991,15,
rxn9246,uma-s,-322.574487358,-322.509153505,-322.543020385,,0.000000,-0.000000,0.000000,0,0.0,stabperform_stable,0.058770,0.061212,0.055771,0.016568,0.004166,1.778108,1.777825,,0.000283,0.855536,0.856260,-0.000724,15,
